"Topic","Major Repeated Questions / Patterns","Docs / Years (Sample)"
"Search Algorithm Properties","A*, IDA*, UCS complexities, heuristic admissibility, node expansions","2015-16, 2016-17, 2018-19, 2023 Major"
"Local Search Variants","SA vs GA differences, escaping local optima, local beam search","2015-16, 2018-19, 2023 Major"
"Minimax & Alpha-Beta Pruning","Pruning node order, best case recurrences, alpha-beta pseudocode changes","2015-16, 2016-17, 2018-19, 2023 Major"
"Constraint Satisfaction (CSP)","Office allocation, prof scheduling, 7-queens symmetries, heuristics","2015-16, 2016-17, 2018-19, 2023 Major"
"Bayesian Networks & Inference","Independence, CPT parameters, posterior calculations","2015-16, 2016-17, 2018-19"
"MDPs / POMDPs / RL","Discount factor, LAO*, Q-learning, function approximation","2015-16, 2018-19"
"Logical Reasoning & Propositional Logic","Riddles, entailment, tautologies, resolution inference","2016-17, 2018-19"
"Multi-agent / Game Theory","Turing Test, solved games, Uno, expectimax pruning","2015-16, 2018-19, 2023 Major"
"Neural Networks & ML","Blueprint representation, training algorithms, convergence","2018-19, 2023 Major"
"Miscellaneous AI foundational","AI definitions, history, glossary","Multiple"